company_id;companyname;adresse;activite;effectif;creation;forme_juridique;capital_social;activite_principale_declaree;code_naf_ou_ape;domaine_dactivite;inscription_rcs;city;date_inscr_rad;directors;post_code;country
28;ledrenche;94 RUE MONTORGUEIL 75002 PARIS 2;Édition de journaux;0 salarié  (donnée 2023);01/11/2015;SAS, société par actions simplifiée;3305;Édition de journaux, exploitation de sites internet, promotion de produits, vente d'objets non réglementes;58.13Z (Édition de journaux);Édition;1;PARIS;2021-08-18;Antoine Dujardin, Florent Guignard;75002;France
29;youvote;55 RUE DU FAUBOURG MONTMARTRE 75009 PARIS 9;Programmation informatique;0 salarié  (donnée 2016);09/05/2014;SAS, société par actions simplifiée;1000;Les développements et l'exploitation de services, Plateformes et d'outils d'analyse d'informations et de média sociaux.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;0;P;2016-07-11;;75009;France
30;make2;60 RUE DE LONDRES 75008 PARIS 8;Fonds de placement et entités financières similaires;0 salarié  (donnée 2023);14/03/2022;SAS, société par actions simplifiée;2;Toute prise de participations ou d'intérêts, quel(le) qu'en soit la nature juridique ou l'objet, au sein de l'Entreprise Cible et administration, en ce compris la cession ou le transfert, de ses participations;64.30Z (Fonds de placement et entités financières similaires);Activités des services financiers, hors assurance et caisses de retraite;1;PARIS;2022-03-16;ONERAGTIME, Exelmans Audit et Conseil;75008;France
31;ecreall_nova_ideo;11 RUE DE L HARMONIE 59491 VILLENEUVE D'ASCQ;Édition de logiciels applicatifs;0 salarié  (donnée 2023);01/06/2005;SARL, société à responsabilité limitée;104120;Société de services, en logiciels libres, dévelop- pement de logiciels, vente de prestations intel- lectuelles, installation de matériels informati- ques, audit et modélisation des processus Formation professionnelle;58.29C (Édition de logiciels applicatifs);Édition;1;LILLE M;2005-06-01;Michaël LAUNAY;59491;France
32;neocity;28 RUE DE SAINT QUENTIN 75010 PARIS 10;Traitement de données, hébergement et activités connexes;0 salarié  (donnée 2023);12/06/2014;SAS, société par actions simplifiée;3293;La conception, l'édition, l'hébergement, le suivi d'application de logiciels applicatifs et de sites Web, toutes activités de conseil, de formation et de sous Traitance relatives a l'objet social.;63.11Z (Traitement de données, hébergement et activités connexes);Services d'information;1;PARIS;2019-07-30;Pierre Saulnier, Victor Perraud;75010;France
33;citieszen;25 RUE DE TOLBIAC 75013 PARIS 13;Programmation informatique;Entre 10 et 19 salariés  (donnée 2020);29/09/2016;SAS, société par actions simplifiée;120985;Conception, édition, réalisation, développement et commercialisation de logiciels, de bases de données et d'information, destinées à être opérées sur tous réseaux, y compris Internet. Toutes opérations, prestations, services et activités contribuant à l'objet.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;PARIS;2016-10-06;Yves Kergall;75013;France
34;politicus;1 SQ GEORGES CONTENOT 75012 PARIS 12;Activités des organisations politiques;0 salarié  (donnée 2023);29/01/2015;Association déclarée;0;;94.92Z (Activités des organisations politiques);Activités des organisations associatives;0;;;;75012;France
35;capcollectif;25 RUE CLAUDE TILLIER 75012 PARIS 12;Édition de logiciels système et de réseau;Entre 20 et 49 salariés  (donnée 2020);16/05/2014;SAS, société par actions simplifiée;14000;Conception, réalisation et diffusion de tout produit informatique, y compris ouvrages de toute nature sur le sujet.;58.29A (Édition de logiciels système et de réseau);Édition;1;PARIS;2014-07-08;Cyril Pereira Lage, KARILA AUDIT ET CONSEIL, FI ABILITY;75012;France
36;whip;3 SEN DES ORCHIDEES 94470 BOISSY-SAINT-LEGER;Conseil en relations publiques et communication;Au moins 1 salarié  (donnée 2023);23/10/2019;SAS, société par actions simplifiée;1000;Agence de communication;70.21Z (Conseil en relations publiques et communication);"Activités des sièges sociaux ; conseil de gestion";1;CR;2019-10-29;Maxime SOULIERS, Timothée LESTAVEL;94470;France
37;VOXE;36 RUE VIEILLE DU TEMPLE 75004 PARIS 4;Programmation informatique;0 salarié  (donnée 2023);01/04/2014;SAS, société par actions simplifiée;1516;Création, l'hébergement, le développement et la maintenance de sites internet;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;PARIS;2014-04-02;Gilonne de Roquefeuil;75004;France
